ID,UMAP1,UMAP2
117,6.792608,1.606175
118,7.0025725,-0.99582773
119,3.8958669,-0.8298432
120,5.4622,0.5211191
121,3.8796527,0.22227857
122,4.410261,0.71590996
123,4.198591,-0.30044964
124,5.5333157,1.4054477
125,6.785277,-1.1926032
126,7.3073354,1.1294899
127,4.894812,-0.1374575
128,5.782115,-1.2430408
129,5.129815,1.1170226
130,5.8747644,-0.39457798
131,4.9729657,0.3136919
132,6.634035,-1.0553361
133,6.618392,1.9699278
134,3.6106265,-0.44399232
135,6.0794263,2.1233535
136,3.918054,-0.4517622
137,5.653619,1.0383341
138,4.674367,0.04624391
139,5.521603,0.9511932
140,5.2391644,0.17828082
141,5.3725076,-0.8014294
142,5.986642,-1.6074029
143,4.3641567,0.24323602
144,6.073034,-0.47972634
145,7.7294235,0.3035178
146,4.380266,-1.5645083
147,5.392419,2.431095
148,3.2669415,-0.112419724
149,5.799724,0.097688474
150,3.7331398,0.6236337
151,5.0140224,0.40080234
152,3.5992997,-0.18803407
153,4.854828,1.2656456
154,3.8358614,-0.19203722
155,5.758146,0.7958115
156,5.2148128,-1.101138
157,7.057287,0.9073615
158,3.636558,-0.9430726
159,4.4786577,1.0892336
160,6.335762,1.858232
161,4.9051685,-1.2563401
162,6.42824,-0.8830153
163,6.6201115,1.8059721
164,5.8320074,-0.24891222
165,5.0496054,0.24399424
166,5.186262,-0.18529086
167,6.182482,0.39109966
168,5.828341,-1.0770646
169,7.4711757,0.41336742
170,6.6626005,-0.940468
171,6.859116,0.697087
172,5.758307,-0.1811274
173,4.530396,0.48077047
174,5.323425,0.37098137
175,6.002719,-0.7648881
176,6.549111,-0.53659886
177,6.752087,-0.8932117
178,7.5089707,0.1376502
179,4.7594604,-0.9494467
180,7.044019,1.3347545
181,3.9924846,-0.73485285
182,6.162681,1.3961484
183,5.948206,-1.3845674
184,6.722536,0.3198742
185,5.661286,-0.6179128
186,5.6995535,0.5625706
187,4.764431,-0.5638152
188,4.367444,2.030657
189,4.558066,-1.0800649
190,4.4360466,2.0858252
191,3.4243898,-0.19513933
192,5.9544053,2.4437957
193,6.616209,-1.1720945
194,7.3096104,-0.33099046
195,4.6047997,0.008601794
196,5.851897,1.2137083
197,4.2642407,0.01817167
198,5.533022,1.6346012
199,7.1857724,-0.40306535
200,6.807258,-0.9231945
201,7.501741,0.25055015
202,6.7543707,-0.7711596
203,4.8348827,-1.2856354
204,3.8710184,0.5404489
205,4.8176994,-0.871742
206,4.26148,1.5585148
207,5.614347,0.19213283
208,5.630679,0.62656236
209,3.7020822,-0.72729164
210,5.4783483,2.3364182
211,3.7232223,-0.3944388
212,5.6551375,1.9493419
213,7.2159877,0.77512956
214,6.8931327,-0.79905736
215,5.1823335,-0.9928904
216,6.239583,0.70176005
217,3.4770145,-0.59652966
218,4.61991,-0.08173587
219,5.0920863,-1.4038428
220,4.2746058,1.7599356
221,4.0996656,-1.415527
222,4.58212,1.9563085
223,7.294241,0.71635497
224,6.0457296,-1.195198
225,6.4963975,1.4255612
226,4.347298,-0.8804056
227,7.410322,0.4502549
228,4.871185,1.593319
229,4.0277042,-1.1368629
230,6.0228257,2.4045074
231,5.523551,-0.47567487
232,4.9238467,1.3717527
233,6.03281,-1.5467473
234,5.7418146,0.4241771
235,5.9587545,-0.82659346
236,5.3682485,1.5386736
237,6.5266776,-0.80968344
238,6.5461864,1.1599103
239,4.187505,-0.5384198
240,6.029893,1.1199386
241,5.038108,-0.62499124
242,6.037354,1.3290728
243,5.552998,-0.8029117
244,6.175709,0.5954642
245,3.803258,-0.8306859
246,5.9331512,1.2578455
247,5.4486146,-1.4919703
248,5.855002,1.0201452
249,4.1679764,-0.331258
